,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff,exp
3492,tnn4atf7,rhte04g2,11,1,7,8.0,0,0.875,-4.16,,,,,2.859999999999999,AMT
3493,tnn4atf7,8s4vhpit,11,2,7,8.1,1,0.99,-9.21,,,,,0.6600000000000019,AMT
3494,tnn4atf7,rhte04g2,11,1,8,8.5,0,0.75,-0.58,,,,,2.859999999999999,AMT
3495,tnn4atf7,8s4vhpit,11,2,8,9.0,0,0.99,-0.02,,,,,0.6600000000000019,AMT
3496,tnn4atf7,rhte04g2,11,1,9,9.1,0,0.875,-0.27,,,,,2.859999999999999,AMT
3497,tnn4atf7,8s4vhpit,11,2,9,9.0,0,0.99,-0.02,,,,,0.6600000000000019,AMT
3498,tnn4atf7,rhte04g2,11,1,10,9.0,0,0.75,-0.58,I HAVE THINK OF MIND,1.0,8.2,,2.859999999999999,AMT
3499,tnn4atf7,8s4vhpit,11,2,10,9.1,0,0.99,-0.02,"If it was close to 9:00AM, within 20 minutes or so, I would go to the office. Otherwise I would just chose to go to the canteen. Unfortunately it almost worked out for everyone except one, and I have no idea why they would have chosen to go to the office on said round because it was really early and we would have had plenty of time to go to the canteen.",1.0,8.0,,0.6600000000000019,AMT
3500,tnn4atf7,556swypq,12,1,1,8.3,1,0.99,-0.01,,,,,0.0,AMT
3501,tnn4atf7,g7xx1b70,12,2,1,8.4,1,0.99,-0.01,,,,,0.0,AMT
3502,tnn4atf7,556swypq,12,1,2,9.0,0,0.625,-0.94,,,,,0.0,AMT
3503,tnn4atf7,g7xx1b70,12,2,2,8.5,0,0.99,-0.02,,,,,0.0,AMT
3504,tnn4atf7,556swypq,12,1,3,8.0,1,0.99,-0.01,,,,,0.0,AMT
3505,tnn4atf7,g7xx1b70,12,2,3,8.1,1,0.99,-0.01,,,,,0.0,AMT
3506,tnn4atf7,556swypq,12,1,4,8.1,1,0.99,-0.01,,,,,0.0,AMT
3507,tnn4atf7,g7xx1b70,12,2,4,8.0,1,0.99,-0.01,,,,,0.0,AMT
3508,tnn4atf7,556swypq,12,1,5,8.0,1,0.99,-0.01,,,,,0.0,AMT
3509,tnn4atf7,g7xx1b70,12,2,5,8.1,1,0.99,-0.01,,,,,0.0,AMT
3510,tnn4atf7,556swypq,12,1,6,8.5,1,0.625,-1.96,,,,,0.0,AMT
3511,tnn4atf7,g7xx1b70,12,2,6,9.0,0,0.99,-9.21,,,,,0.0,AMT
3512,tnn4atf7,556swypq,12,1,7,8.2,1,0.99,-0.01,,,,,0.0,AMT
